File,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\SerialContext.java,com.alibaba.fastjson.serializer.SerialContext,0.0,-1.0,0.0,7.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\geo\Polygon.java,com.alibaba.fastjson.support.geo.Polygon,0.0,0.0,0.0,2.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\retrofit\Retrofit2ConverterFactory.java,com.alibaba.fastjson.support.retrofit.Retrofit2ConverterFactory,0.0,0.0,9.0,2.0,0.18181819,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils,0.0,-1.0,469.0,179.0,0.27623457,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\AbstractDateDeserializer.java,com.alibaba.fastjson.parser.deserializer.AbstractDateDeserializer,0.0,0.6666667,42.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\ClassWriter.java,com.alibaba.fastjson.asm.ClassWriter,0.0,-1.0,43.0,59.0,0.57843137,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\RyuFloat.java,com.alibaba.fastjson.util.RyuFloat,0.0,-1.0,2.0,8.0,0.8,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ThreadLocalCache.java,com.alibaba.fastjson.util.ThreadLocalCache,0.0,-1.0,12.0,8.0,0.4,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\JSONObjectCodec.java,com.alibaba.fastjson.serializer.JSONObjectCodec,0.0,-1.0,7.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\ResolveFieldDeserializer.java,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,0.0,1.0,7.0,8.0,0.53333336,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\BooleanCodec.java,com.alibaba.fastjson.serializer.BooleanCodec,0.0,-1.0,15.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$ArrayAccessSegment,0.0,-1.0,5.0,4.0,0.44444445,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$PropertyFilter,0.0,-1.0,1.0,3.0,0.75,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\DefaultJSONParser.java,com.alibaba.fastjson.parser.DefaultJSONParser,0.0,-1.0,338.0,150.0,0.30737704,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$MultiPropertySegment,0.0,-1.0,18.0,3.0,0.14285715,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\DefaultJSONParser.java,com.alibaba.fastjson.parser.DefaultJSONParser$ResolveTask,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$FilterGroup,0.0,-1.0,0.0,3.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPatch.java,com.alibaba.fastjson.JSONPatch,0.0,-1.0,21.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$RefOpSegement,1.0,0.0,13.0,2.0,0.13333334,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,0.0,-1.0,121.0,39.0,0.24375,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\JavaBeanSerializer.java,com.alibaba.fastjson.serializer.JavaBeanSerializer,4.0,0.0,156.0,32.0,0.17021276,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\AwtCodec.java,com.alibaba.fastjson.serializer.AwtCodec,0.0,-1.0,82.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\FastJsonJsonView.java,com.alibaba.fastjson.support.spring.FastJsonJsonView,0.0,0.0,27.0,19.0,0.41304347,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\Labels.java,com.alibaba.fastjson.serializer.Labels$DefaultLabelFilter,0.0,-1.0,0.0,4.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\ReferenceCodec.java,com.alibaba.fastjson.serializer.ReferenceCodec,0.0,-1.0,8.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\retrofit\Retrofit2ConverterFactory.java,com.alibaba.fastjson.support.retrofit.Retrofit2ConverterFactory$RequestBodyConverter,0.0,-1.0,8.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\JSONPResponseBodyAdvice.java,com.alibaba.fastjson.support.spring.JSONPResponseBodyAdvice,0.0,-1.0,11.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$RlikeSegement,1.0,0.0,1.0,1.0,0.5,0.0
